time,.data
2022/11/28/23:03:58.853391,"(0, 1, -6, 4, -9, 2, -2, 0)"
2022/11/28/23:03:58.853413,"(0, -1, 2, -3, 21, -1, 0, 1)"
2022/11/28/23:03:58.865242,"(1, 4, 3, 12, 3, 1, 1, 1)"
2022/11/28/23:03:58.865269,"(-3, -2, 1, -4, -6, -1, -2, -1)"
2022/11/28/23:03:58.874651,"(0, -3, -1, 2, 0, -4, -1, 0)"
2022/11/28/23:03:58.874668,"(-1, 0, -3, -2, -11, -2, 0, -1)"
2022/11/28/23:03:58.888942,"(-2, -1, 0, 4, 4, 1, -1, -2)"
2022/11/28/23:03:58.888958,"(-1, -2, -5, 5, 4, -1, 0, 0)"
2022/11/28/23:03:58.890643,"(-1, -1, -4, -6, -3, -2, 0, -1)"
2022/11/28/23:03:58.890656,"(-5, -5, -6, -12, -5, -1, -3, -3)"
2022/11/28/23:03:58.911911,"(0, -1, 1, -2, -2, -1, -1, 0)"
2022/11/28/23:03:58.911959,"(0, 7, 3, 7, -3, -2, 2, -1)"
2022/11/28/23:03:58.913595,"(-1, -9, -1, -3, 1, 0, 2, -1)"
2022/11/28/23:03:58.913607,"(1, -2, -4, -21, -1, -3, -3, 0)"
2022/11/28/23:03:58.925192,"(-3, -3, -6, 12, -2, 0, -2, -2)"
2022/11/28/23:03:58.925204,"(2, 4, 1, 7, -14, -3, -3, -2)"
2022/11/28/23:03:58.934338,"(-1, 1, -1, -16, 6, -1, -2, -1)"
2022/11/28/23:03:58.934357,"(-1, 0, 0, 6, 7, 1, 0, -1)"
2022/11/28/23:03:58.949149,"(-2, -1, 0, -3, 1, -1, -3, -1)"
2022/11/28/23:03:58.949563,"(0, 0, 0, 2, 0, 1, -1, 0)"
2022/11/28/23:03:58.951133,"(0, 0, 1, 12, -4, -2, -1, 0)"
2022/11/28/23:03:58.951155,"(0, -4, -3, -14, -15, -3, -1, -1)"
2022/11/28/23:03:58.971581,"(-1, -2, -2, -2, 10, 0, -1, -1)"
2022/11/28/23:03:58.971766,"(2, -3, 0, 4, 4, 2, 2, 2)"
2022/11/28/23:03:58.973603,"(-2, -2, -2, -3, 7, -2, -2, -3)"
2022/11/28/23:03:58.973629,"(-2, 1, -1, -26, -18, -2, -3, -1)"
2022/11/28/23:03:58.985134,"(0, -1, -3, 20, -5, -1, 0, 1)"
2022/11/28/23:03:58.985144,"(-2, -2, 3, 4, 4, -1, -3, 0)"
2022/11/28/23:03:58.994930,"(0, 2, 5, 14, 16, 3, 2, -3)"
2022/11/28/23:03:58.994956,"(-1, -3, 0, 11, -17, -3, -2, -1)"
2022/11/28/23:03:59.008578,"(-1, -2, -4, -28, 18, -4, -1, -3)"
2022/11/28/23:03:59.008600,"(-2, -2, -10, -16, -6, 0, 0, -2)"
2022/11/28/23:03:59.015404,"(1, 2, 4, 23, -2, -1, -2, 4)"
2022/11/28/23:03:59.015430,"(1, 1, 4, 16, 6, -2, 0, -1)"
2022/11/28/23:03:59.031561,"(0, 0, -4, -61, -34, -3, 0, 0)"
2022/11/28/23:03:59.031971,"(-2, -1, -3, 21, 20, 2, 1, -1)"
2022/11/28/23:03:59.034278,"(-3, -2, 3, 24, 1, 0, -2, -3)"
2022/11/28/23:03:59.034303,"(-3, -3, -2, -3, 7, 1, -1, -3)"
2022/11/28/23:03:59.045295,"(-2, -2, -2, 2, -9, -2, -2, -1)"
2022/11/28/23:03:59.045314,"(-2, 2, -6, -37, -19, -2, -1, -2)"
2022/11/28/23:03:59.054449,"(-4, -7, -6, 0, 16, -2, -2, -4)"
2022/11/28/23:03:59.054466,"(5, 1, 1, 10, -1, 3, 3, 4)"
2022/11/28/23:03:59.069072,"(-5, -3, -6, -18, -3, -4, -5, -5)"
2022/11/28/23:03:59.069088,"(-2, -3, 8, 24, 3, -2, -2, -3)"
2022/11/28/23:03:59.075064,"(1, 5, 7, 23, -6, -2, -1, 0)"
2022/11/28/23:03:59.075092,"(-1, -1, 5, 11, 12, 1, 0, -5)"
2022/11/28/23:03:59.091078,"(1, -3, -4, -15, -8, -2, -1, 2)"
2022/11/28/23:03:59.091086,"(0, 0, -3, -19, 1, -2, -2, -1)"
2022/11/28/23:03:59.092522,"(2, -4, -5, -5, -13, -2, -3, -3)"
2022/11/28/23:03:59.092536,"(-1, 2, 4, 17, 9, 0, 1, 1)"
2022/11/28/23:03:59.105293,"(-6, 0, 4, 8, 2, -1, -1, -6)"
2022/11/28/23:03:59.105306,"(8, 6, -7, -18, -6, -3, -2, -1)"
2022/11/28/23:03:59.115029,"(-9, -14, -3, -1, -7, -2, 0, -4)"
2022/11/28/23:03:59.115048,"(1, -1, -2, 0, 6, 1, -1, -1)"
2022/11/28/23:03:59.128248,"(7, 2, 5, 35, 10, 1, -1, -1)"
2022/11/28/23:03:59.128339,"(4, 0, 0, -9, 0, 2, -1, 3)"
2022/11/28/23:03:59.135417,"(-6, 0, -6, -30, -9, -1, -2, 0)"
2022/11/28/23:03:59.135435,"(2, -3, -7, -4, -7, -4, -8, -9)"
2022/11/28/23:03:59.151848,"(6, 2, 0, -1, -5, 1, 2, 9)"
2022/11/28/23:03:59.152031,"(-17, -8, 2, -8, 9, -3, -4, -7)"
2022/11/28/23:03:59.153769,"(1, 6, -7, -31, 1, -1, -1, 2)"
2022/11/28/23:03:59.153776,"(11, -13, 0, 18, -1, 2, 5, 5)"
2022/11/28/23:03:59.174307,"(-12, 2, 7, 29, 10, 4, 5, -3)"
2022/11/28/23:03:59.174321,"(22, 4, 2, 11, -3, -2, 1, 17)"
2022/11/28/23:03:59.176183,"(-17, -9, 0, 4, -1, -3, -4, -12)"
2022/11/28/23:03:59.176191,"(23, 16, -3, -29, -3, -2, -1, 10)"
2022/11/28/23:03:59.188427,"(6, -1, -5, -7, -6, 1, -2, 3)"
2022/11/28/23:03:59.188438,"(-6, -4, 2, 15, 2, -4, 5, 1)"
2022/11/28/23:03:59.195585,"(-6, 1, -1, -14, -2, 2, -6, -8)"
2022/11/28/23:03:59.195622,"(-8, -2, -3, 0, -4, -5, -2, -7)"
2022/11/28/23:03:59.211524,"(1, -1, -1, 4, -1, 5, 9, 17)"
2022/11/28/23:03:59.211820,"(-20, -18, 1, 1, 1, -6, -6, -6)"
2022/11/28/23:03:59.213446,"(29, 8, -1, 2, -20, 0, -2, -1)"
2022/11/28/23:03:59.213473,"(-22, -2, 1, -6, 19, -2, -4, -16)"
2022/11/28/23:03:59.234475,"(6, 4, -4, 7, 2, 3, 2, 4)"
2022/11/28/23:03:59.234509,"(20, 5, -1, -1, 2, 8, 7, 20)"
2022/11/28/23:03:59.236169,"(-13, -1, -3, -2, -7, -1, 11, 16)"
2022/11/28/23:03:59.236181,"(-11, -8, -5, -21, -13, -7, -10, -10)"
2022/11/28/23:03:59.248453,"(-8, 3, -1, -20, -1, -2, -4, -5)"
2022/11/28/23:03:59.248467,"(24, 16, -4, 16, 4, 4, 4, 4)"
2022/11/28/23:03:59.255442,"(-9, -4, -2, -1, 2, 1, -6, -46)"
2022/11/28/23:03:59.255455,"(3, 0, 0, 17, -3, 8, 13, 56)"
2022/11/28/23:03:59.271495,"(-16, -7, 0, -12, 0, -12, -8, -13)"
2022/11/28/23:03:59.271721,"(13, 3, -1, -11, -5, -2, -2, -2)"
2022/11/28/23:03:59.273653,"(-4, 6, 4, 8, 8, 0, 2, 3)"
2022/11/28/23:03:59.273680,"(8, 10, 9, 20, 11, -2, 4, -7)"
2022/11/28/23:03:59.294291,"(8, -7, -6, -18, -13, -1, 0, -15)"
2022/11/28/23:03:59.294321,"(-34, -11, -1, 7, 5, 6, 1, 12)"
2022/11/28/23:03:59.296136,"(-3, 3, 2, -6, -2, -6, -2, 11)"
2022/11/28/23:03:59.296154,"(-14, -5, -7, -7, 0, 0, 1, -6)"
2022/11/28/23:03:59.308282,"(-6, -15, 1, 0, 3, -4, -3, 2)"
2022/11/28/23:03:59.308311,"(28, 27, -1, 5, -4, -1, -9, -20)"
2022/11/28/23:03:59.315156,"(0, 10, -2, 1, 3, 2, 2, 9)"
2022/11/28/23:03:59.315181,"(-4, -6, -3, -7, -9, -5, -3, -1)"
2022/11/28/23:03:59.332223,"(28, 0, 3, 25, -8, 2, -3, -3)"
2022/11/28/23:03:59.332256,"(-23, -15, -6, -26, 7, -5, -6, -16)"
2022/11/28/23:03:59.334151,"(36, 11, -1, -19, -2, -3, -3, 11)"
2022/11/28/23:03:59.334161,"(-19, 3, 0, 6, -1, 4, 8, 1)"
2022/11/28/23:03:59.354305,"(9, 1, 1, 6, 1, 0, -2, 2)"
2022/11/28/23:03:59.354338,"(-20, -10, -2, -3, -3, -2, -3, -10)"
2022/11/28/23:03:59.356341,"(11, -5, -3, 10, 8, -3, -3, 0)"
2022/11/28/23:03:59.356367,"(9, 2, -3, -26, -9, 0, 1, 1)"
2022/11/28/23:03:59.368209,"(-23, -1, -2, 5, 4, -3, -5, -8)"
2022/11/28/23:03:59.368225,"(-7, -2, 2, 18, -5, -2, -2, -7)"
2022/11/28/23:03:59.375577,"(-3, -22, 0, -25, 2, -1, 2, 6)"
2022/11/28/23:03:59.375595,"(5, -4, -5, 7, -4, 1, -2, -3)"
2022/11/28/23:03:59.392116,"(-9, 2, 1, 4, 5, -4, -6, -2)"
2022/11/28/23:03:59.392148,"(-11, -3, 1, 2, -3, 0, 7, 7)"
2022/11/28/23:03:59.393926,"(23, 1, -2, -1, -2, 3, -2, -11)"
2022/11/28/23:03:59.393954,"(18, 1, 1, 1, 1, 2, 0, 2)"
2022/11/28/23:03:59.414356,"(6, 2, 1, 2, -1, -3, 3, 9)"
2022/11/28/23:03:59.414373,"(7, -2, -3, -23, 0, -3, -12, -20)"
2022/11/28/23:03:59.415944,"(-15, 1, 0, 20, 2, 7, 13, 20)"
