time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/11/28/22:55:18.107585,39,1669697718,106882333,RL_myo,0.7428294667446631,0.49739665772409697,-0.29853565504093243,-0.3341817034040288,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.0,1.0,-3.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.10400390625,0.93505859375,0.359375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.129478,40,1669697718,129051446,RL_myo,0.7423884023973037,0.49805881473008295,-0.29791973954626655,-0.3347248210759528,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.125,0.75,-3.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.0693359375,0.98291015625,0.34619140625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.143922,41,1669697718,143647909,RL_myo,0.7420720242734239,0.49853958663146297,-0.2968776382682953,-0.3356353069155748,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.6875,1.0625,-5.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.068359375,1.005859375,0.35107421875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.167535,42,1669697718,166985750,RL_myo,0.7417593820953835,0.4989618158997581,-0.2943111775252151,-0.33795126295253336,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.1875,2.125,-12.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.009765625,0.99169921875,0.3603515625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.190926,43,1669697718,189629077,RL_myo,0.7403047165794986,0.5007387166970242,-0.2899816727239837,-0.34222842327160097,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.375,2.625,-23.125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.11083984375,0.98974609375,0.32421875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.211805,44,1669697718,210128307,RL_myo,0.7373151951260029,0.5045848276578365,-0.2838175213026418,-0.3481494927979073,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.875,4.625,-33.875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.23974609375,1.05859375,0.31396484375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.226953,45,1669697718,226524114,RL_myo,0.7330471628990212,0.50965393923454,-0.27625074598509325,-0.35578117506564483,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.8125,4.875,-47.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.30908203125,1.13427734375,0.36279296875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.249709,46,1669697718,249290466,RL_myo,0.7278858745221843,0.5151661870832064,-0.26741031583074965,-0.36507215224462763,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6.875,6.5,-65.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.2607421875,1.10302734375,0.39990234375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.270787,47,1669697718,270276308,RL_myo,0.7221817111197067,0.5212501532253462,-0.2569628975501999,-0.37512920863266713,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",11.0,14.0,-82.4375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.1943359375,1.1533203125,0.4873046875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.287791,48,1669697718,287234783,RL_myo,0.7148576126522721,0.5289409213835886,-0.24585437702897472,-0.38568863168969497,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",15.875,20.0625,-103.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.09521484375,1.20166015625,0.5068359375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.309875,49,1669697718,309418439,RL_myo,0.707335355960066,0.5365592470657469,-0.2310177169996419,-0.39800965192989823,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4.9375,30.125,-124.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.06103515625,1.2158203125,0.46923828125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.330973,50,1669697718,330095291,RL_myo,0.7000093985028201,0.5440041650410354,-0.21264563121316812,-0.41088702334301025,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.75,42.9375,-136.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.07373046875,1.1630859375,0.4267578125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.347957,51,1669697718,347213268,RL_myo,0.6925855178398361,0.5518344643333003,-0.19299862584027158,-0.4225583449374447,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.8125,52.6875,-137.8125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0625,1.06787109375,0.423828125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.369660,52,1669697718,369285106,RL_myo,0.6843464334450491,0.5606855456320211,-0.17328393904303374,-0.4327520703822153,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.75,59.4375,-135.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.08251953125,0.9716796875,0.3876953125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:18.390568,53,1669697718,390037059,RL_myo,0.6756386026766755,0.5702340979953189,-0.154231142634504,-0.44108764060924427,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",10.25,64.25,-127.875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.1123046875,0.88330078125,0.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
