time,.data
2022/11/28/23:03:58.459392,"(7, 3, -2, -1, -1, -3, 2, 9)"
2022/11/28/23:03:58.460472,"(-35, 9, -11, -8, -4, -5, -4, -27)"
2022/11/28/23:03:58.460482,"(25, 3, 1, 2, 0, -1, -4, 22)"
2022/11/28/23:03:58.482632,"(-8, -9, 6, 3, 4, 1, 7, -15)"
2022/11/28/23:03:58.482669,"(4, 20, 5, 5, 0, 0, -21, -13)"
2022/11/28/23:03:58.483425,"(55, -9, 2, -4, 1, -2, 1, 6)"
2022/11/28/23:03:58.483603,"(-36, 2, -7, -6, -3, -2, 1, -3)"
2022/11/28/23:03:58.496658,"(-30, 22, 16, 9, 0, -2, -9, 4)"
2022/11/28/23:03:58.496669,"(-19, -21, -12, -2, 0, -1, 10, -53)"
2022/11/28/23:03:58.497440,"(-3, 10, -1, -2, 1, 0, 6, 16)"
2022/11/28/23:03:58.497455,"(51, -9, 8, 3, 1, 1, -18, -1)"
2022/11/28/23:03:58.519142,"(19, -22, -10, -3, -4, -5, -9, 5)"
2022/11/28/23:03:58.519159,"(-20, 3, -10, -21, -4, -2, 2, -4)"
2022/11/28/23:03:58.519891,"(10, 14, 5, 7, -2, -2, 0, 23)"
2022/11/28/23:03:58.519902,"(-12, -2, 1, -3, -1, 2, 0, -14)"
2022/11/28/23:03:58.542454,"(10, -8, 3, 9, 4, 1, 2, 21)"
2022/11/28/23:03:58.542519,"(25, 4, 2, 7, 0, 0, -11, -7)"
2022/11/28/23:03:58.543248,"(4, 3, -11, -16, -1, -2, -2, 11)"
2022/11/28/23:03:58.543272,"(-33, 3, 3, -5, -3, -3, 7, 17)"
2022/11/28/23:03:58.556794,"(5, -6, -11, -3, -1, -1, -9, -11)"
2022/11/28/23:03:58.556809,"(24, -10, 3, 1, -1, 1, 5, 12)"
2022/11/28/23:03:58.557291,"(-30, 1, 3, 0, -1, 0, 1, 5)"
2022/11/28/23:03:58.557305,"(-17, -15, -11, -6, -3, -2, 14, 20)"
2022/11/28/23:03:58.578885,"(12, 0, -12, -2, -1, -1, 2, -6)"
